"date","consumption_real","consumption_nominal","consumption_deflator","gross_disposable_income","final_consumption_hh","currency_deposits","equities","superannuation","household_debt","housing_wealth","housing_loan_flow","house_price_index","working_age_population","unemployment_rate","gross_disposable_income_billions","final_consumption_hh_billions","illiquid_financial_wealth","liquid_assets","net_liquid_assets","final_consumption_hh_sa","annualised_income","real_gdi","real_consumption_per_working_age","real_gdi_per_working_age","real_housing_wealth","real_illiquid_financial_wealth","real_household_debt","consumption_income_ratio","housing_wealth_income_ratio","illiquid_financial_income_ratio","liquid_assets_income_ratio","net_liquid_assets_income_ratio","debt_income_ratio","lcons","lgdi","lperm_income","permanent_income_per_working_age","disposable_permanent_income_ratio","log_disposable_permanent_income_ratio","lcons_perm_income_ratio","credit_conditions_index","long_run_fitted_ratio","ecm_residual","ecm_fitted","d_lcons_actual"
2006-06-01,221464,145362,65.6368529422389,157966,145362,388.7,633.8,1077.5,1023.4,3164.3,41420.9,77,16396425,4.8081098,157.966,145.362,1711.3,388.7,-634.7,145362,631.864,240666.626931385,0.0135068467669019,0.0146779939487654,4820.91973968437,2607.22433098059,1559.18505248965,0.920210678247218,5.00788144284213,2.70833597103174,0.615164022637783,-1.0044883076105,1.61965233024828,-4.30455855418527,-4.22140591712496,-4.36296681752465,0.0127405326872697,1.1520706636883,0.141560900399686,0.0584082633393743,NA,0.0794825735069939,-0.0210743101676196,0.0155178983979462,0.0125820684829367
2006-09-01,223974,148048,66.1005295257485,164882,148048,405,642.2,1119.5,1052.3,3232.1,40466.1,78.4,16475659,4.6660416,164.882,148.048,1761.7,405,-647.3,148048,659.528,249441.269507187,0.013594236200203,0.0151399873903185,4889.67338565871,2665.18288528045,1591.9690924565,0.897902742567412,4.90062590216033,2.67115270314528,0.614075520675392,-0.981459467983164,1.59553498865856,-4.29810938488107,-4.19041586384515,-4.35779028891426,0.0128066554146776,1.18219682657867,0.167374425069116,0.0596809040331916,NA,0.0722682911351567,-0.0125873871019651,0.00146824779146077,0.00644916930420258
2006-12-01,226908,150588,66.3652229097255,168327,150588,416.7,672,1192,1081.6,3326.6,38776.5,79.8,16553060,4.5680416,168.327,150.588,1864,416.7,-664.9,150588,673.308,253637.360984939,0.0137079186567317,0.015322687224292,5012.56509682046,2808.69997609371,1629.76925651446,0.894615837031492,4.94068093651048,2.76842099009666,0.61888467090841,-0.987512401456688,1.6063970723651,-4.28978160898711,-4.1784207237662,-4.35240920195982,0.0128757548894632,1.19004185430955,0.173988478193623,0.0626275929727127,NA,0.0712993063781045,-0.00867171340539183,0.00839704426316955,0.00832777589396283
2007-03-01,231761,154912,66.8412718274429,171839,154912,420.4,673.4,1244,1103.7,3434.4,42788.3,80.5,16654145,4.4596097,171.839,154.912,1917.4,420.4,-683.3,154912,687.356,257085.174027835,0.0139161151773327,0.0154367080404209,5138.14280623838,2868.58694871927,1651.22531308097,0.901495004044484,4.99653745657272,2.78952973422797,0.611619015473786,-0.994099127671833,1.60571814314562,-4.27470774511468,-4.17100696693525,-4.34696713490908,0.0129460166220239,1.19239056237266,0.175960167973831,0.0722593897944011,NA,0.0761007210337276,-0.00384133123932652,0.00692588517859622,0.0150738638724253
2007-06-01,233695,158202,67.6959284537538,177130,158202,403.1,686,1344.2,1155.9,3541.2,47243.8,84.1,16727947,4.3240941,177.13,158.202,2030.2,403.1,-752.8,158202,708.52,261655.322625504,0.0139703335980201,0.0156418072478054,5231.03838130997,2998.99867890419,1707.48821443471,0.893140631174843,4.99802405013267,2.86540958617964,0.568932422514537,-1.06249647151809,1.63142889403263,-4.2708192263978,-4.15780799761197,-4.34129236079017,0.0130196911876406,1.20139617924685,0.183484363178204,0.0704731343923717,NA,0.111227584059316,-0.0407544496669447,0.0105504348668932,0.00388851871688445
2007-09-01,237749,161599,67.9704225885282,179007,161599,435.2,691.5,1392.9,1176.7,3697.3,47137.4,87.1,16808153,4.2134049,179.007,161.599,2084.4,435.2,-741.5,161599,716.028,263360.139870915,0.0141448617227604,0.0156685948700559,5439.57188905872,3066.62798408406,1731.19418003824,0.902752406330479,5.16362488617764,2.911059344048,0.607797460434508,-1.03557402783131,1.64337148826582,-4.25840384997378,-4.15609689670144,-4.33573649686751,0.0130922281363155,1.19678596392573,0.17963960016607,0.0773326468937254,NA,0.0881941398525976,-0.0108614929588722,0.0126144486772799,0.0124153764240162
2007-12-01,240547,164904,68.5537545677144,183462,164904,453.3,677.7,1398,1209.9,3795.9,46023.5,90.4,16890726,4.3083917,183.462,164.904,2075.7,453.3,-756.6,164904,733.848,267617.727368651,0.0142413653504296,0.0158440630301297,5537.11466853442,3027.84291405909,1764.89239375637,0.898845537495503,5.17259705007031,2.82851489681787,0.617702848546293,-1.03100369558819,1.64870654413448,-4.25160449624424,-4.14496042106011,-4.33001321459328,0.0131673734874448,1.20328196395714,0.185052793533172,0.0784087183490465,NA,0.0821515462650813,-0.00374282791603475,-0.0014178734889999,0.00679935372954343
2008-03-01,241808,167251,69.1668596572487,188462,167251,464.7,630.6,1322.3,1233.4,3775.4,42412.8,90.8,17006460,4.0570579,188.462,167.251,1952.9,464.7,-768.7,167251,753.848,272474.420457875,0.0142185969331654,0.0160218187946154,5458.39440840414,2823.46200142301,1783.22394006613,0.887452112362174,5.00817140855982,2.59057528838705,0.61643726586792,-1.01970158440428,1.6361388502722,-4.25320452802887,-4.13380381103875,-4.32412693248665,0.0132451089243008,1.20964039527226,0.190323121447898,0.0709224044577752,NA,0.0798526001112445,-0.0089301956534693,0.00741223737531738,-0.00160003178463608
2008-06-01,240834,167822,69.6836825365189,191163,167822,483.6,619.5,1320.4,1268.6,3719.9,36777.3,90,17094322,4.2435273,191.163,167.822,1939.9,483.6,-785,167822,764.652,274329.64654217,0.014088537702753,0.0160479980745753,5338.2655229946,2783.86550392678,1820.51228325249,0.877900012031617,4.86482739860747,2.53697106657669,0.632444563016902,-1.0266107981147,1.6590553611316,-4.26239374108665,-4.13217116774167,-4.3183682595443,0.013321603216092,1.20465966552659,0.186197091802628,0.0559745184576501,NA,0.0746840038810911,-0.018709485423441,0.00282710887846721,-0.00918921305777598
2008-09-01,240096,168736,70.2785552445688,193966,168736,508.7,608.3,1272.4,1282.8,3652.1,35212.4,88,17194287,4.2892907,193.966,168.736,1880.7,508.7,-774.1,168736,775.864,275995.998103546,0.0139637078292342,0.0160516105206076,5196.60654276503,2676.06525696947,1825.30787028257,0.86992565707392,4.70713939556417,2.4240073002485,0.655656145922481,-0.997726405658724,1.6533825515812,-4.27129361310102,-4.13194609047714,-4.31277559447229,0.0133963152059338,1.19821087171028,0.180829503995145,0.0414819813712652,NA,0.0578086406924125,-0.0163266593211472,0.00557441713832712,-0.00889987201437048
2008-12-01,239618,169525,70.7480239381015,206410,169525,545.5,574.7,1179.7,1292.7,3434.4,36366.3,86.8,17288803,4.5700887,206.41,169.525,1754.4,545.5,-747.2,169525,825.64,291753.731779973,0.0138597218095434,0.016875299682689,4854.41120306739,2479.78657543135,1827.18884294352,0.821302262487283,4.1596821859406,2.12489704956155,0.660699578508793,-0.904994913037159,1.56569449154595,-4.27876835688333,-4.08190428340707,-4.30584945514033,0.0134894220147451,1.25100242725321,0.223945171733263,0.0270810982570024,NA,0.0283988433680769,-0.00131774511107448,-0.0191831307080218,-0.00747474378230617
2009-03-01,240725,171287,71.1546370339599,204169,171287,555.9,565.5,1161.1,1305,3448.8,42863,86.6,17398656,5.711259,204.169,171.287,1726.6,555.9,-749.1,171287,816.676,286937.02689054,0.0138358388142165,0.0164919075870309,4846.90828842819,2426.54600173977,1834.03366863802,0.838947146726486,4.22297214562446,2.11417991957643,0.680686098281326,-0.917254823210184,1.59794092149151,-4.28049303771369,-4.10488546765604,-4.2998205355158,0.0135709943051632,1.21523207630825,0.194935067859761,0.0193274978021067,NA,0.0233612699596152,-0.00403377215750841,-0.0183214591754657,-0.00172468083036659
