regime,equation,term,estimate,std_error,t_stat,p_value
a_cons_only_cci,hew,d_apra_2014,-0.004642262112462667,0.0054006133702334865,-0.8595805317317071,0.39120303418245994
a_cons_only_cci,hew,d_apra_2017,-0.018862293885819816,0.006767180983787455,-2.7873192590843003,0.005905326399347821
b_joint_cci_cons_wt,consumption,(Intercept),-0.046555459719481815,0.03160724164976159,-1.472936494597053,0.14258521769115862
b_joint_cci_cons_wt,consumption,ln_networth_y_extended,0.022232922754276074,0.01069863968491112,2.078107442540792,0.039175860463897205
b_joint_cci_cons_wt,consumption,ln_hp_over_y,-0.0014881967114579815,0.0025726263143350395,-0.578473718925107,0.5636966408211594
b_joint_cci_cons_wt,consumption,real_rate,5.2935478095076556e-5,4.253792534177121e-4,0.12444301801220005,0.9011089907547654
b_joint_cci_cons_wt,consumption,ln_yp_over_y,0.19953505389743284,0.036894872492542856,5.408205542321975,2.0913897769148093e-7
b_joint_cci_cons_wt,consumption,cci_williams_joint,0.00324993408095101,0.004425807021173027,0.7343144573189364,0.4637512117082696
b_joint_cci_cons_wt,consumption,ecm_lag,-0.21518042979867283,0.036306486746490035,-5.926776427065767,1.632303847642902e-8
b_joint_cci_cons_wt,consumption,d2000_gst,0.005304327173032531,0.008577260179687258,0.6184174272332655,0.5371135638412627
b_joint_cci_cons_wt,consumption,d2008_gfc,-0.012057480439291602,0.008605885221107314,-1.4010738151281286,0.1629832697916167
b_joint_cci_cons_wt,consumption,d2020_covid,-0.1577679763416406,0.010538949130601065,-14.969991256864779,0
b_joint_cci_cons_wt,consumption,d2020_rebound,0.021997424103245917,0.011098867811751506,1.9819520762248375,0.049068359225549196
b_joint_cci_cons_wt,consumption,d_neg_gearing_8587,-5.612075707680633e-4,0.003270204630842012,-0.17161237112662386,0.8639428529832882
b_joint_cci_cons_wt,consumption,d_recession_1991,-0.002971476033850426,0.008648000686023541,-0.34360265935833867,0.7315623519719037
b_joint_cci_cons_wt,consumption,d_apra_2014,0.005256853334658775,0.004909271988117609,1.070800996030053,0.28575053847404885
b_joint_cci_cons_wt,consumption,d_apra_2017,-0.009743654091765733,0.004665308249634553,-2.088533826790327,0.03821373350210866
b_joint_cci_cons_wt,consumption,d_jobkeeper_2020,0.01101757533956908,0.006995142826977259,1.5750322205114995,0.11707595069195964
b_joint_cci_cons_wt,house_price,(Intercept),0.12366467003597587,0.5453165351963604,0.22677594031042184,0.8208657141123059
b_joint_cci_cons_wt,house_price,lincome,0.01339510119879733,0.04836199917753261,0.27697575424095067,0.7821293846619635
b_joint_cci_cons_wt,house_price,log_credit_y,0.015423897024386386,0.023276489812171428,0.6626384454378138,0.508443986546196
b_joint_cci_cons_wt,house_price,real_rate,-0.002341213805812731,9.29704434305817e-4,-2.5182345263963883,0.01270218679942925
b_joint_cci_cons_wt,house_price,prime_age_share,-0.1038049735530418,0.31772336834905063,-0.3267149473217272,0.7442784304019987
b_joint_cci_cons_wt,house_price,cci_williams_joint,0.02400606009439841,0.011838412776759717,2.027810699549631,0.04411374967296666
b_joint_cci_cons_wt,house_price,ecm_lag_H,-0.03720923083794099,0.020634806708896076,-1.803226527045652,0.07309280240061033
b_joint_cci_cons_wt,house_price,d_log_credit_y,0.30305610984775244,0.08327257104101063,3.6393269243302377,3.60689493384303e-4
b_joint_cci_cons_wt,house_price,d_real_rate,0.009760335619354745,0.002232015414814787,4.372880023395653,2.1122238050175213e-5
b_joint_cci_cons_wt,house_price,d2008_gfc,-0.027819331764482633,0.0190785504624535,-1.458147033718885,0.146613036039843
b_joint_cci_cons_wt,house_price,d2020_covid,-0.01009938480755536,0.019648625084330372,-0.5139995681229392,0.6079082056917446
