equation,regime,term,estimate,std_error,lr_struct,lambda
house_price,b_joint_cci_OLS,cci_williams_joint,0.053223916640601644,0.017941780734417028,9.812437150520733,-0.005424128157373943
house_price,b_joint_cci_OLS,ecm_lag_H,-0.005424128157373943,0.017948817593769692,NA,-0.005424128157373943
house_price,c_joint_cci_SUR,lincome,0.011825970131996039,0.04674275161623623,1.6721879457271056,-0.00707215367878629
house_price,c_joint_cci_SUR,log_credit_y,-0.01154312332773677,0.022009752515268058,-1.6321935087979849,-0.00707215367878629
house_price,c_joint_cci_SUR,real_rate,-0.003034778534635037,0.001027609138293336,-0.429116599054994,-0.00707215367878629
house_price,c_joint_cci_SUR,prime_age_share,0.0016472764148415591,0.30131981187975193,0.2329242957181131,-0.00707215367878629
house_price,c_joint_cci_SUR,cci_williams_joint,0.051803913532437115,0.017907681075243008,7.32505483977656,-0.00707215367878629
house_price,c_joint_cci_SUR,ecm_lag_H,-0.00707215367878629,0.0179186286736542,NA,-0.00707215367878629
mortgage,a_cons_only_cci,lincome,0.014600859635627503,0.03804250519902819,1.098058269315521,-0.013296980719182604
mortgage,a_cons_only_cci,ln_hp_over_yd,0.0203256168583171,0.012249346507224762,1.5285888795036593,-0.013296980719182604
mortgage,a_cons_only_cci,real_rate,-8.242524261054448e-4,4.4347775903894244e-4,-0.06198793872930527,-0.013296980719182604
mortgage,a_cons_only_cci,prime_age_share,0.4453687155659303,0.18855243571991726,33.49397317869527,-0.013296980719182604
mortgage,a_cons_only_cci,cci_williams,0.0022216539318388046,0.0023420604826899184,0.16707957834621684,-0.013296980719182604
mortgage,a_cons_only_cci,ecm_lag_M,-0.013296980719182604,0.010447673355052702,NA,-0.013296980719182604
mortgage,b_joint_cci_OLS,lincome,-0.006171659980672192,0.04021637502109208,-1.3870824958424444,-0.004449382065717609
mortgage,b_joint_cci_OLS,ln_hp_over_yd,0.01063386999737934,0.010428513724641505,2.3899655818081063,-0.004449382065717609
mortgage,b_joint_cci_OLS,real_rate,-4.560854612190783e-4,5.535992441765221e-4,-0.10250534894119494,-0.004449382065717609
mortgage,b_joint_cci_OLS,prime_age_share,0.3854903801304626,0.1730815799862483,86.6390825594991,-0.004449382065717609
mortgage,b_joint_cci_OLS,cci_williams_joint,-0.008714876990233638,0.010064680573180319,-1.958671307951181,-0.004449382065717609
mortgage,b_joint_cci_OLS,ecm_lag_M,-0.004449382065717609,0.011088735645941658,NA,-0.004449382065717609
mortgage,c_joint_cci_SUR,lincome,-3.0230046591422157e-4,0.04010421265447965,-0.0565647585823468,-0.005344325221049666
mortgage,c_joint_cci_SUR,ln_hp_over_yd,0.011055448385512113,0.01040743335941056,2.068633162886135,-0.005344325221049666
mortgage,c_joint_cci_SUR,real_rate,-2.5125440933590476e-4,5.527952952670462e-4,-0.04701330831183146,-0.005344325221049666
mortgage,c_joint_cci_SUR,prime_age_share,0.3939697079718807,0.17238111730255848,73.7173902553973,-0.005344325221049666
mortgage,c_joint_cci_SUR,cci_williams_joint,-0.01096310115786085,0.010044552964833081,-2.0513536703718067,-0.005344325221049666
mortgage,c_joint_cci_SUR,ecm_lag_M,-0.005344325221049666,0.011057589205179241,NA,-0.005344325221049666
