"window_end","term","estimate","se","ci_low","ci_high"
2020-04-01,"ln_networth_y",0.0965517468577903,0.0331009132697247,0.0316739568491299,0.161429536866451
2020-07-01,"ecm_lag",-0.000282825900671416,0.0964423500903481,-0.189309832077754,0.188744180276411
2020-07-01,"real_rate",-0.00127267269422339,0.0013928483921761,-0.00400265554288854,0.00145731015444177
2020-07-01,"ln_yp_over_y",-0.195363162765667,0.1367169657462,-0.46332841562822,0.0726020900968858
2020-07-01,"ln_networth_y",0.0966678826892977,0.0332082543176573,0.0315797042266893,0.161756061151906
2020-10-01,"ecm_lag",0.00749335843817807,0.0971531965789999,-0.182926906856662,0.197913623733018
2020-10-01,"real_rate",-0.0012606140082546,0.00148081119237535,-0.00416300394531029,0.00164177592880109
2020-10-01,"ln_yp_over_y",-0.18713201984323,0.14858604296369,-0.478360664052062,0.104096624365602
2020-10-01,"ln_networth_y",0.0914786667596602,0.0369892319281671,0.0189797721804528,0.163977561338868
2021-01-01,"ecm_lag",-0.11835024525599,0.101646453846083,-0.317577294794313,0.0808768042823325
2021-01-01,"real_rate",-0.00122776770517248,0.00169403043907317,-0.0045480673657559,0.00209253195541094
2021-01-01,"ln_yp_over_y",-0.0378607199841133,0.164089964901704,-0.359477051191452,0.283755611223226
2021-01-01,"ln_networth_y",0.082140662383855,0.0438706319493848,-0.00384577623693924,0.168127101004649
2021-04-01,"ecm_lag",-0.0792838043251965,0.058529206367651,-0.194001048805793,0.0354334401553995
2021-04-01,"real_rate",-0.000766932993127223,0.00148192469435153,-0.00367150539405622,0.00213763940780177
2021-04-01,"ln_yp_over_y",-0.102353474036936,0.15066341640903,-0.397653770198635,0.192946822124762
2021-04-01,"ln_networth_y",0.0823694744548173,0.040256738404112,0.0034662671827578,0.161272681726877
2021-07-01,"ecm_lag",0.17760465689472,0.123709139133176,-0.0648652558063051,0.420074569595745
2021-07-01,"real_rate",-0.00114831945395245,0.00239295079584894,-0.00583850301381637,0.00354186410591147
2021-07-01,"ln_yp_over_y",-0.12071305998701,0.264450955113698,-0.639036932009858,0.397610812035838
2021-07-01,"ln_networth_y",0.0182653541514603,0.0598499607988017,-0.099040569014191,0.135571277317112
2021-10-01,"ecm_lag",-0.127697688614501,0.120142439305415,-0.363176869653114,0.107781492424111
2021-10-01,"real_rate",0.0000955204738320258,0.00294853853520946,-0.00568361505517851,0.00587465600284256
2021-10-01,"ln_yp_over_y",0.366550281874149,0.504526230878668,-0.62232113064804,1.35542169439634
2021-10-01,"ln_networth_y",-0.0301212851554466,0.119855795952201,-0.265038645221761,0.204796074910868
2022-01-01,"ecm_lag",-0.133636091671457,0.122668508194722,-0.374066367733113,0.106794184390198
2022-01-01,"real_rate",0.000465415766014991,0.00295641302111833,-0.00532915375537694,0.00625998528740692
2022-01-01,"ln_yp_over_y",0.408958916865902,0.507732464191188,-0.586196712948826,1.40411454668063
2022-01-01,"ln_networth_y",-0.0483648818949364,0.124416134611122,-0.292220505732735,0.195490741942862
2022-04-01,"ecm_lag",-0.14421700693243,0.135614362795611,-0.410021158011828,0.121587144146967
2022-04-01,"real_rate",0.000836372146154066,0.00306335759008572,-0.00516780873041395,0.00684055302272208
2022-04-01,"ln_yp_over_y",0.37193241352153,0.461350643711624,-0.532314848153253,1.27617967519631
2022-04-01,"ln_networth_y",-0.0407276696387493,0.114586820581853,-0.265317837979181,0.183862498701682
2022-07-01,"ecm_lag",-0.156530288257551,0.139530306679797,-0.430009689349953,0.116949112834851
2022-07-01,"real_rate",0.00114327598208041,0.00292520466302197,-0.00459012515744265,0.00687667712160348
2022-07-01,"ln_yp_over_y",0.296297880363461,0.404066051400544,-0.495671580381605,1.08826734110853
2022-07-01,"ln_networth_y",-0.0405131934393697,0.0989107022847589,-0.234378169917497,0.153351783038758
2022-10-01,"ecm_lag",-0.184420559593979,0.135596706080128,-0.450190103511029,0.0813489843230722
2022-10-01,"real_rate",0.00141239439618534,0.00258404455483539,-0.00365233293129202,0.0064771217236627
2022-10-01,"ln_yp_over_y",0.249692593015253,0.374230128497379,-0.483798458839611,0.983183644870117
2022-10-01,"ln_networth_y",-0.0313637665184579,0.0861047623437976,-0.200129100712301,0.137401567675385
2023-01-01,"ecm_lag",-0.186081308420762,0.136690143480795,-0.453993989643121,0.0818313728015969
2023-01-01,"real_rate",0.00122485139127403,0.0024989574501326,-0.00367310521098587,0.00612280799353394
2023-01-01,"ln_yp_over_y",0.254659533934649,0.385319763253836,-0.500567202042869,1.00988626991217
2023-01-01,"ln_networth_y",-0.0143710522958349,0.070670976873339,-0.152886166967579,0.124144062375909
2023-04-01,"ecm_lag",-0.267569708768288,0.143850239960557,-0.549516179090979,0.0143767615544035
2023-04-01,"real_rate",0.0040624596215688,0.00280974040596733,-0.00144463157412718,0.00956955081726477
2023-04-01,"ln_yp_over_y",0.624265420014595,0.472370572747542,-0.301580902570588,1.55011174259978
2023-04-01,"ln_networth_y",-0.0219148584108147,0.0626767897336175,-0.144761366288705,0.100931649467076
2023-07-01,"ecm_lag",-0.246691679963282,0.138358022728309,-0.517873404510767,0.024490044584203
2023-07-01,"real_rate",0.00266435353526512,0.00220002214720145,-0.00164768987324972,0.00697639694377996
2023-07-01,"ln_yp_over_y",0.528851473822127,0.431483907973261,-0.316856985805465,1.37455993344972
2023-07-01,"ln_networth_y",-0.00291049387634169,0.0564453814639002,-0.113543441545586,0.107722453792903
2023-10-01,"ecm_lag",-0.257435436238402,0.130804728341605,-0.513812703787948,-0.00105816868885544
2023-10-01,"real_rate",0.0019062278270458,0.00158985735737895,-0.00120989259341694,0.00502234824750854
2023-10-01,"ln_yp_over_y",0.543364154480777,0.409084710458414,-0.258441878017714,1.34517018697927
2023-10-01,"ln_networth_y",-0.0109581723867844,0.0494363656045338,-0.107853448971671,0.0859371041981019
2024-01-01,"ecm_lag",-0.297009480723891,0.139629552186048,-0.570683403008544,-0.0233355584392374
2024-01-01,"real_rate",0.00173432147958773,0.00117894822675351,-0.000576417044849148,0.00404506000402461
2024-01-01,"ln_yp_over_y",0.669706585097677,0.46835291170931,-0.24826512185257,1.58767829204792
2024-01-01,"ln_networth_y",-0.0358599011366521,0.0565013564284907,-0.146602559736494,0.0748827574631898
2024-04-01,"ecm_lag",-0.291708445142394,0.15436342117164,-0.594260750638809,0.010843860354021
2024-04-01,"real_rate",0.00123900076279288,0.00100207162735556,-0.00072505962682401,0.00320306115240977
2024-04-01,"ln_yp_over_y",0.653322517936207,0.511542976789328,-0.349301716570876,1.65594675244329
2024-04-01,"ln_networth_y",-0.032901415375768,0.0637447744560909,-0.157841173309706,0.0920383425581702
2024-07-01,"ecm_lag",-0.359531002446004,0.169905536729953,-0.692545854436712,-0.0265161504552955
2024-07-01,"real_rate",0.000888537971627089,0.000772697055675892,-0.000625948257497659,0.00240302420075184
2024-07-01,"ln_yp_over_y",0.956275211701729,0.637553105047097,-0.293328874190581,2.20587929759404
2024-07-01,"ln_networth_y",-0.0549395623269155,0.0729028560327248,-0.197829160151056,0.0879500354972251
2024-10-01,"ecm_lag",-0.419592284307731,0.193655026920229,-0.799156137071379,-0.0400284315440828
2024-10-01,"real_rate",0.00102869838200272,0.000708856985352814,-0.000360661309288795,0.00241805807329424
2024-10-01,"ln_yp_over_y",1.21965929445641,0.8113872069074,-0.370659631082092,2.80997821999492
2024-10-01,"ln_networth_y",-0.0631126600539501,0.07528605659476,-0.21067333097968,0.0844480108717795
