"date","cci_step_1983","cci_step_1992","cci_step_1998","cci_step_2007","cci_regime_component","cci_indicator_component","cci_institutional_raw","credit_conditions_index","credit_conditions_spline"
2000-09-01,1,1,0.359348680516564,0,0.461844607692524,1.49849261022607,1.18451263251533,-1.18451263251533,1.40539912139696
2000-12-01,1,1,0.384896125772038,0,0.531062639794195,1.22614151933348,1.11221972247886,-1.11221972247886,1.51570209780747
2001-03-01,1,1,0.410162829870859,0,0.599520034180462,1.61054507023789,1.36938084264139,-1.36938084264139,1.61447940997521
2001-06-01,1,1,0.435991016282987,0,0.669498703997536,1.99628699098228,1.6286350886882,-1.6286350886882,1.70029386670664
2001-09-01,1,1,0.461819202695115,0,0.73947737381461,1.40539386086895,1.39691463854428,-1.39691463854428,1.77170827680821
2001-12-01,1,1,0.48736664795059,0,0.80869540591628,2.16591131547263,1.84386616877708,-1.84386616877708,1.82729783040361
2002-03-01,1,1,0.51263335204941,0,0.877152800302548,2.19427935712562,1.92204085400233,-1.92204085400233,1.86568724288562
2002-06-01,1,1,0.538461538461538,0,0.947131470119622,2.08644554408919,1.93316434155616,-1.93316434155616,1.88553019157141
2002-09-01,1,1,0.564289724873666,0,1.01711013993669,0.126994913461622,1.01344165102122,-1.01344165102122,-1.04987706294586
2002-12-01,1,1,0.589837170129141,0,1.08632817203837,-0.0390463563822528,0.994592892969294,-0.994592892969294,-0.948828314267356
2003-03-01,1,1,0.615103874227962,0,1.15478556642463,0.0276679000440174,1.09204501568958,-1.09204501568958,-0.857814029247937
2003-06-01,1,1,0.64093206064009,0,1.22476423624171,-0.185422700228857,1.05025373319697,-1.05025373319697,-0.776244207641048
2003-09-01,1,1,0.666760247052218,0,1.29474290605878,-0.0196592048449628,1.19892026230178,-1.19892026230178,-0.703528849200114
2003-12-01,1,1,0.692307692307692,0,1.36396093816045,-0.179551551147088,1.18316269564746,-1.18316269564746,-0.639077953678558
2004-03-01,1,1,0.717855137563167,0,1.43317897026212,-0.967930691754957,0.851451782220316,-0.851451782220316,-0.582301520829811
2004-06-01,1,1,0.743683323975295,0,1.5031576400792,-1.2140414357464,0.793060588618477,-0.793060588618477,-0.532609550407298
2004-09-01,1,1,0.769511510387423,0,1.57313630989627,-1.64244354366045,0.643027745516666,-0.643027745516666,-0.489412042164445
2004-12-01,1,1,0.795058955642897,0,1.64235434199794,-1.71571416795098,0.670816715115381,-0.670816715115381,-0.452118995854678
2005-03-01,1,1,0.820325659741718,0,1.71081173638421,-1.5688306706765,0.808571577978693,-0.808571577978693,-0.420140411231425
2005-06-01,1,1,0.846153846153846,0,1.78079040620128,-1.2274937198079,1.04550252467742,-1.04550252467742,-0.392886288048112
