"date","term","contribution"
2016-07-01,"hp_x_1_minus_cci",0.00989346225831542
2016-10-01,"hp_x_1_minus_cci",0.010146451763996
2017-01-01,"hp_x_1_minus_cci",0.0102532034176363
2017-04-01,"hp_x_1_minus_cci",0.010209453991013
2017-07-01,"hp_x_1_minus_cci",0.0103209497539736
2017-10-01,"hp_x_1_minus_cci",0.0103285552942462
2018-01-01,"hp_x_1_minus_cci",0.0103550784060671
2018-04-01,"hp_x_1_minus_cci",0.0102019442542161
2018-07-01,"hp_x_1_minus_cci",0.0101985678976098
2018-10-01,"hp_x_1_minus_cci",0.0102898277794205
2019-01-01,"hp_x_1_minus_cci",0.00807443791315049
2019-04-01,"hp_x_1_minus_cci",0.00389839244022209
2019-07-01,"hp_x_1_minus_cci",-0.000757719449461088
2019-10-01,"hp_x_1_minus_cci",-0.0126301005747683
2020-01-01,"hp_x_1_minus_cci",-0.0181245541704332
2020-04-01,"hp_x_1_minus_cci",-0.0186522668600493
2020-07-01,"hp_x_1_minus_cci",-0.0211015980357827
2020-10-01,"hp_x_1_minus_cci",-0.0355264302195819
2021-01-01,"hp_x_1_minus_cci",-0.0360854947115209
2021-04-01,"hp_x_1_minus_cci",-0.044046383800323
2021-07-01,"hp_x_1_minus_cci",-0.0417463960966352
2021-10-01,"hp_x_1_minus_cci",-0.0571682591998332
2022-01-01,"hp_x_1_minus_cci",-0.0613107451209376
2022-04-01,"hp_x_1_minus_cci",-0.0626168575140841
2022-07-01,"hp_x_1_minus_cci",-0.0583792259264099
2022-10-01,"hp_x_1_minus_cci",-0.0651129655285787
2023-01-01,"hp_x_1_minus_cci",-0.0666528572616784
2023-04-01,"hp_x_1_minus_cci",-0.0740836292084615
2023-07-01,"hp_x_1_minus_cci",-0.0765161706695794
2023-10-01,"hp_x_1_minus_cci",-0.0814005260143566
2024-01-01,"hp_x_1_minus_cci",-0.087748481502205
2024-04-01,"hp_x_1_minus_cci",-0.0910322587272543
