specification,term,ols_estimate,nw_se,t_stat,p_value,lambda,structural_param,in_long_run,in_short_run,is_dummy
Spec5_FullDisagg,d2_public_cons,0.020302383979935706,0.03728483792238629,0.5445211810280097,0.5911069129301545,0.5192702692148322,0.0390979133287067,FALSE,TRUE,FALSE
Spec5_FullDisagg,dd4_income,0.3990659269970948,0.2142523988074412,1.8625972414701144,0.07480498774568417,0.5192702692148322,0.7685129510697896,FALSE,TRUE,FALSE
Spec5_FullDisagg,d2_log_unemp,0.016046962687008802,0.06503565011807277,0.24674102062292613,0.8072069818118323,0.5192702692148322,0.03090291056191754,FALSE,TRUE,FALSE
Spec5_FullDisagg,abs_income_resid,-0.8423344930846951,0.39351061430213813,-2.140563589570545,0.04267558727449652,0.5192702692148322,-1.6221504349909255,FALSE,TRUE,FALSE
Spec5_FullDisagg,d2012_fornero,0.06654693141131014,0.028876430480929572,2.3045414652361114,0.030153561682902136,0.5192702692148322,0.1281547112487936,FALSE,FALSE,TRUE
Spec5_FullDisagg,d2013Q1,-0.04650569653585778,0.016031921632504716,-2.9008186044003295,0.00784506757430488,0.5192702692148322,-0.08955971349212268,FALSE,FALSE,TRUE
Spec6_Preferred,(Intercept),-4.620991307568087,2.5342383237527635,-1.8234241287635518,0.08071896530886423,0.5192702692148322,-8.899009979052533,FALSE,FALSE,FALSE
Spec6_Preferred,nla_y,0.21774429868206535,0.2203254831872052,0.9882846756180869,0.33287286234248636,0.5192702692148322,0.4193274901166743,TRUE,FALSE,FALSE
Spec6_Preferred,bonds_y,-0.050948086906360913,0.14475349599162646,-0.351964465917342,0.7279366051398881,0.5192702692148322,-0.09811477746145081,TRUE,FALSE,FALSE
Spec6_Preferred,ilfa_y,-0.0027085674552393096,0.08640095301501728,-0.03134881457578987,0.9752506100543648,0.5192702692148322,-0.005216103474082631,TRUE,FALSE,FALSE
Spec6_Preferred,ha_y,0.2764984530951444,0.10593263607737646,2.610134735938993,0.015348466624415398,0.5192702692148322,0.5324750317656867,TRUE,FALSE,FALSE
Spec6_Preferred,ln_hp_over_y,-0.7649337931709235,0.5351350208387495,-1.4294220400152402,0.16577156461986436,0.5192702692148322,-1.4730937596861635,TRUE,FALSE,FALSE
Spec6_Preferred,real_rate,-0.9041849637548003,0.3983082422199966,-2.270063402944582,0.03246821358814542,0.5192702692148322,-1.7412607987782205,TRUE,FALSE,FALSE
Spec6_Preferred,ln_yp_over_y,0.058175704459651756,0.11861315529486222,0.49046587045957846,0.6282585646995986,0.5192702692148322,0.11203357463083129,TRUE,FALSE,FALSE
Spec6_Preferred,ln_y_over_c,0.5192702692148322,0.12361312233860347,4.200769783910458,3.1688555173356567e-4,0.5192702692148322,1,TRUE,FALSE,FALSE
Spec6_Preferred,d2_logcci_lag2,-0.4354536342422401,0.4303768540640543,-1.011796127348034,0.3217281059452623,0.5192702692148322,-0.8385876489726094,FALSE,TRUE,FALSE
Spec6_Preferred,d2_public_cons,0.020302383979935706,0.03728483792238629,0.5445211810280097,0.5911069129301545,0.5192702692148322,0.0390979133287067,FALSE,TRUE,FALSE
Spec6_Preferred,dd4_income,0.3990659269970948,0.2142523988074412,1.8625972414701144,0.07480498774568417,0.5192702692148322,0.7685129510697896,FALSE,TRUE,FALSE
Spec6_Preferred,d2_log_unemp,0.016046962687008802,0.06503565011807277,0.24674102062292613,0.8072069818118323,0.5192702692148322,0.03090291056191754,FALSE,TRUE,FALSE
Spec6_Preferred,abs_income_resid,-0.8423344930846951,0.39351061430213813,-2.140563589570545,0.04267558727449652,0.5192702692148322,-1.6221504349909255,FALSE,TRUE,FALSE
Spec6_Preferred,d2012_fornero,0.06654693141131014,0.028876430480929572,2.3045414652361114,0.030153561682902136,0.5192702692148322,0.1281547112487936,FALSE,FALSE,TRUE
Spec6_Preferred,d2013Q1,-0.04650569653585778,0.016031921632504716,-2.9008186044003295,0.00784506757430488,0.5192702692148322,-0.08955971349212268,FALSE,FALSE,TRUE
