"draw","success","fail_reason","n_surviving_knots","surviving_knots","cci_min","cci_max","n_obs","lambda","ols_nla_y","ols_ilfa_y","ols_ln_yp_over_y","ols_yp_x_cci","ols_ha_x_cci","ols_hp_x_1_minus_cci","gamma_nla_y","gamma_ilfa_y","gamma_ln_yp_over_y","gamma_yp_x_cci","gamma_ha_x_cci","gamma_hp_x_1_minus_cci"
99,TRUE,NA,6,"sdmma_1990_09;sdmma_2007_09;sdmma_2009_01;sdmma_2019_01;sdmma_2020_04;sdmma_2021_12",-0.0474666961305056,0,146,-0.122742556124366,0.0408633321971175,0.0205068541568892,-0.0230676671064567,-1.37953408368562,0.286316935228924,0.0636627688726123,0.332919025702168,0.167072080005497,-0.187935365164499,-11.2392484501288,2.33266231590305,0.518669081716919
100,TRUE,NA,7,"sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2017_03;sdmma_2019_01;sdmma_2020_04;sdmma_2021_12",-4.41509054425203,1,146,-0.193567964711501,0.00917993245615744,-0.0023419266353364,0.25421004088039,-0.0366751228048939,-0.000713877921513708,0.0132183175582221,0.0474248539516311,-0.0120987304837702,1.31328570437402,-0.189468969514431,-0.00368799621661409,0.0682877333443215
101,TRUE,NA,6,"sdmma_1990_09;sdmma_1993_01;sdmma_2007_09;sdmma_2008_12;sdmma_2019_01;sdmma_2020_04",-0.0679764575719791,0,146,-0.222445472448649,-0.00576086275012115,-0.00418787016262627,0.0426763523461639,-3.36256369978537,0.0764841542832283,0.0375595876481108,-0.0258978647068261,-0.0188265021379251,0.191850847204883,-15.1163503701412,0.343833270424887,0.168848514805269
102,TRUE,NA,4,"sdmma_1990_09;sdmma_1993_01;sdmma_2019_01;sdmma_2020_04",-0.050384991199063,0,146,-0.236981178237436,0.00501044508535328,-0.00288996204672293,0.018585589147521,-32.4193171740261,-0.395822672584963,0.00282659826710162,0.0211427975952302,-0.012194901165642,0.0784264357437693,-136.801232127998,-1.67027050641288,0.0119275222113614
103,TRUE,NA,3,"sdmma_1992_01;sdmma_2007_09;sdmma_2009_01",-3.08572359349554,1,146,-0.268891445020152,-0.0313864087976908,-0.0099365491327387,0.503195878036054,0.109210348208905,0.00225403521644665,-0.000589214702473164,-0.11672520408873,-0.0369537570523823,1.87137183928757,0.406150326577778,0.00838269591015706,-0.00219127351719578
104,TRUE,NA,6,"sdmma_1992_01;sdmma_1993_01;sdmma_2008_12;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04",-0.0588632790717337,0,146,-0.205199965991465,0.0117996551615425,0.00359954429488099,0.144613659452652,-5.54590632730513,-0.108468994208737,0.0168062268637976,0.0575032023252541,0.0175416417711819,0.704745045906429,-27.026838432984,-0.528601423906905,0.0819017039432482
105,TRUE,NA,6,"sdmma_1993_01;sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04",-0.0584770645374656,0,146,-0.234751692782888,0.0405548760996567,0.0152671188674215,0.188749483560981,-12.1248304269903,0.00653055535456853,0.0530997717823323,0.172756479916693,0.065035181158593,0.804038860480325,-51.6495974246458,0.0278189915359135,0.226195479797635
106,TRUE,NA,7,"sdmma_1993_01;sdmma_2008_12;sdmma_2014_12;sdmma_2017_03;sdmma_2019_01;sdmma_2020_04;sdmma_2021_12",-0.0394104306742316,0,146,-0.0964702756593562,0.0304807757898801,0.0100542787355741,0.0553312438446723,2.33643406042069,-0.00445600001070199,0.0296324267455847,0.315960284984673,0.104221519704956,0.573557434831544,24.2192120262081,-0.0461903936756278,0.307166394446918
107,TRUE,NA,4,"sdmma_2009_01;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04",-18.6312709624028,1,146,-0.190777719677063,0.00251801946448134,0.00406819169981862,0.138254266156821,-0.0365811928536587,-0.000751812775297253,0.000350431175971741,0.0131987082597679,0.0213242495334623,0.724687696188259,-0.191747720412955,-0.00394077870607676,0.00183685587900374
108,TRUE,NA,6,"sdmma_1993_01;sdmma_2007_09;sdmma_2008_12;sdmma_2017_03;sdmma_2019_01;sdmma_2020_04",-0.0501002444231797,0,146,-0.165858411916117,-0.00821171655939548,-0.00195518466191494,0.0587544288509982,-8.45977248323194,-0.296328349990757,0.00479787736405061,-0.0495104014594602,-0.011788275549773,0.354244491866431,-51.0059899012566,-1.78663443455991,0.0289275491584782
