"date","scenario","dlog_c_baseline","dlog_c_cf","delta_dlog_c","cum_delta_log_c"
2018-07-01,"no_apra_2014_2017",-0.00303769735902418,0.00485324599277324,0.00789094335179741,0.0782619231212246
2018-10-01,"no_apra_2014_2017",-0.00407309131339942,0.00402383262528588,0.0080969239386853,0.0863588470599099
2019-01-01,"no_apra_2014_2017",-0.00496515348128162,0.003279057531129,0.00824421101241061,0.0946030580723205
2019-04-01,"no_apra_2014_2017",-0.00571652017924052,0.00262895433394843,0.00834547451318895,0.102948532585509
2019-07-01,"no_apra_2014_2017",-0.00650847300214131,0.00190808958381474,0.00841656258595605,0.111365095171466
2019-10-01,"no_apra_2014_2017",-0.00291795414740466,0.00554780493936606,0.00846575908677072,0.119830854258236
2020-01-01,"no_apra_2014_2017",-0.00761381390176937,0.000885311017170879,0.00849912491894025,0.128329979177176
2020-04-01,"no_apra_2014_2017",-0.138590030065481,-0.130068584759748,0.00852144530573323,0.13685142448291
2020-07-01,"no_apra_2014_2017",0.0731272892111381,0.0816638159398032,0.00853652672866509,0.145387951211575
2020-10-01,"no_apra_2014_2017",0.0375201087412462,0.0460668946107861,0.00854678586953998,0.153934737081115
2021-01-01,"no_apra_2014_2017",0.0213798329672075,0.0299334956721014,0.00855366270489389,0.162488399786009
2021-04-01,"no_apra_2014_2017",0.0134469514560537,0.0220051374923708,0.00855818603631712,0.171046585822326
2021-07-01,"no_apra_2014_2017",-0.00913045444269901,-0.000569187187696132,0.00856126725500288,0.179607853077329
2021-10-01,"no_apra_2014_2017",0.0359571717263765,0.0445205275400148,0.00856335581363836,0.188171208890967
2022-01-01,"no_apra_2014_2017",0.0128088319518547,0.0213735843955889,0.00856475244373418,0.196735961334701
2022-04-01,"no_apra_2014_2017",0.0081438617763046,0.0167095314073638,0.00856566963105925,0.20530163096576
2022-07-01,"no_apra_2014_2017",0.00434364544580245,0.0129099391853752,0.00856629373957272,0.213867924705333
2022-10-01,"no_apra_2014_2017",-0.00108156175386735,0.00748515472272466,0.00856671647659202,0.222434641181925
2023-01-01,"no_apra_2014_2017",-0.00487750813017265,0.0036894908951775,0.00856699902535015,0.231001640207275
2023-04-01,"no_apra_2014_2017",-0.00299451468088213,0.00557266983835274,0.00856718451923486,0.23956882472651
2023-07-01,"no_apra_2014_2017",-0.0056498946523011,0.0029174160607608,0.0085673107130619,0.248136135439572
2023-10-01,"no_apra_2014_2017",-0.00057198596639251,0.00799541021097208,0.00856739617736459,0.256703531616937
2024-01-01,"no_apra_2014_2017",0.000596645778658063,0.00916409907298143,0.00856745329432336,0.26527098491126
2024-04-01,"no_apra_2014_2017",-0.0043317545581115,0.00423573657029493,0.00856749112840642,0.273838476039666
2024-07-01,"no_apra_2014_2017",0.000975430638847243,0.00954294716294298,0.00856751652409574,0.282405992563762
2024-10-01,"no_apra_2014_2017",-0.00352727576867096,0.00504025795405227,0.00856753372272323,0.290973526286485
2003-07-01,"no_covid_support",0.00786960702176193,0.00786960702176193,0,0
2003-10-01,"no_covid_support",0.0101216707886984,0.0101216707886984,0,0
2004-01-01,"no_covid_support",0.00486974787756424,0.00486974787756424,0,0
2004-04-01,"no_covid_support",0.00529238523178134,0.00529238523178134,0,0
2004-07-01,"no_covid_support",0.0163568402322085,0.0163568402322085,0,0
2004-10-01,"no_covid_support",0.00679297533272284,0.00679297533272284,0,0
2005-01-01,"no_covid_support",0.00629094986187529,0.00629094986187529,0,0
2005-04-01,"no_covid_support",0.00451257198722299,0.00451257198722299,0,0
2005-07-01,"no_covid_support",0.00722114245805157,0.00722114245805157,0,0
2005-10-01,"no_covid_support",0.0121400235907376,0.0121400235907376,0,0
2006-01-01,"no_covid_support",0.0106362942898649,0.0106362942898649,0,0
2006-04-01,"no_covid_support",0.00434918750949503,0.00434918750949503,0,0
2006-07-01,"no_covid_support",-0.00351582948488585,-0.00351582948488585,0,0
2006-10-01,"no_covid_support",0.00179577839215201,0.00179577839215201,0,0
2007-01-01,"no_covid_support",0.0139021299647599,0.0139021299647599,0,0
2007-04-01,"no_covid_support",0.00397056260393572,0.00397056260393572,0,0
2007-07-01,"no_covid_support",0.00245284842515567,0.00245284842515567,0,0
2007-10-01,"no_covid_support",0.00874035305316783,0.00874035305316783,0,0
2008-01-01,"no_covid_support",0.00689381251651552,0.00689381251651552,0,0
2008-04-01,"no_covid_support",0.00699363333514204,0.00699363333514204,0,0
2008-07-01,"no_covid_support",-0.00867494547443216,-0.00867494547443216,0,0
2008-10-01,"no_covid_support",-0.00948545395370144,-0.00948545395370144,0,0
2009-01-01,"no_covid_support",0.00942674911988734,0.00942674911988734,0,0
2009-04-01,"no_covid_support",0.00843294699580473,0.00843294699580473,0,0
2009-07-01,"no_covid_support",0.00406542126871535,0.00406542126871535,0,0
2009-10-01,"no_covid_support",0.0145928559034188,0.0145928559034188,0,0
2010-01-01,"no_covid_support",0.0119920753558309,0.0119920753558309,0,0
2010-04-01,"no_covid_support",0.0163868781613181,0.0163868781613181,0,0
2010-07-01,"no_covid_support",-0.00104475033350257,-0.00104475033350257,0,0
2010-10-01,"no_covid_support",-0.00486339502905252,-0.00486339502905252,0,0
2011-01-01,"no_covid_support",0.00150971949841774,0.00150971949841774,0,0
2011-04-01,"no_covid_support",-0.00198726341922397,-0.00198726341922397,0,0
2011-07-01,"no_covid_support",0.0062882958582719,0.0062882958582719,0,0
2011-10-01,"no_covid_support",-0.0043814449346615,-0.0043814449346615,0,0
2012-01-01,"no_covid_support",-0.0043919787222996,-0.0043919787222996,0,0
2012-04-01,"no_covid_support",0.00475287357577805,0.00475287357577805,0,0
2012-07-01,"no_covid_support",-0.011824525111341,-0.011824525111341,0,0
2012-10-01,"no_covid_support",0.00849377320759956,0.00849377320759956,0,0
2013-01-01,"no_covid_support",-0.00258169909174835,-0.00258169909174835,0,0
2013-04-01,"no_covid_support",0.00188289160719978,0.00188289160719978,0,0
2013-07-01,"no_covid_support",0.00000942740997225021,0.00000942740997225021,0,0
2013-10-01,"no_covid_support",0.00282424495979857,0.00282424495979857,0,0
2014-01-01,"no_covid_support",0.00511117644360772,0.00511117644360772,0,0
2014-04-01,"no_covid_support",-0.000574888790360578,-0.000574888790360578,0,0
2014-07-01,"no_covid_support",0.00862293609559258,0.00862293609559258,0,0
2014-10-01,"no_covid_support",0.00361285610009348,0.00361285610009348,0,0
2015-01-01,"no_covid_support",-0.000468164577786401,-0.000468164577786401,0,0
2015-04-01,"no_covid_support",0.00566739853416732,0.00566739853416732,0,0
2015-07-01,"no_covid_support",0.00603837552505752,0.00603837552505752,0,0
2015-10-01,"no_covid_support",-0.00341368577628026,-0.00341368577628026,0,0
2016-01-01,"no_covid_support",0.00724700008835111,0.00724700008835111,0,0
2016-04-01,"no_covid_support",0.0044136743318195,0.0044136743318195,0,0
2016-07-01,"no_covid_support",-0.0030720990332859,-0.0030720990332859,0,0
2016-10-01,"no_covid_support",-0.000332245258450038,-0.000332245258450038,0,0
2017-01-01,"no_covid_support",0.00615555936005062,0.00615555936005062,0,0
2017-04-01,"no_covid_support",0.000795889944763909,0.000795889944763909,0,0
2017-07-01,"no_covid_support",0.00478245219502881,0.00478245219502881,0,0
2017-10-01,"no_covid_support",0.00409322558619872,0.00409322558619872,0,0
2018-01-01,"no_covid_support",-0.00193312173015328,-0.00193312173015328,0,0
2018-04-01,"no_covid_support",-0.00158984902955447,-0.00158984902955447,0,0
2018-07-01,"no_covid_support",-0.00303769735902418,-0.00303769735902418,0,0
2018-10-01,"no_covid_support",-0.00407309131339942,-0.00407309131339942,0,0
2019-01-01,"no_covid_support",-0.00496515348128162,-0.00496515348128162,0,0
2019-04-01,"no_covid_support",-0.00571652017924052,-0.00571652017924052,0,0
2019-07-01,"no_covid_support",-0.00650847300214131,-0.00650847300214131,0,0
2019-10-01,"no_covid_support",-0.00291795414740466,-0.00291795414740466,0,0
2020-01-01,"no_covid_support",-0.00761381390176937,-0.00761381390176937,0,0
2020-04-01,"no_covid_support",-0.138590030065481,0.000708885166063227,0.139298915231545,0.139298915231545
2020-07-01,"no_covid_support",0.0731272892111381,0.0184017673389449,-0.0547255218721932,0.0845733933593515
2020-10-01,"no_covid_support",0.0375201087412462,0.0167770083272031,-0.0207431004140431,0.0638302929453084
2021-01-01,"no_covid_support",0.0213798329672075,0.000636732553164432,-0.0207431004140431,0.0430871925312653
2021-04-01,"no_covid_support",0.0134469514560537,0.0134469514560537,0,0.0430871925312653
2021-07-01,"no_covid_support",-0.00913045444269901,-0.00913045444269901,0,0.0430871925312653
2021-10-01,"no_covid_support",0.0359571717263765,0.0359571717263765,0,0.0430871925312653
2022-01-01,"no_covid_support",0.0128088319518547,0.0128088319518547,0,0.0430871925312653
2022-04-01,"no_covid_support",0.0081438617763046,0.0081438617763046,0,0.0430871925312653
2022-07-01,"no_covid_support",0.00434364544580245,0.00434364544580245,0,0.0430871925312653
2022-10-01,"no_covid_support",-0.00108156175386735,-0.00108156175386735,0,0.0430871925312653
2023-01-01,"no_covid_support",-0.00487750813017265,-0.00487750813017265,0,0.0430871925312653
2023-04-01,"no_covid_support",-0.00299451468088213,-0.00299451468088213,0,0.0430871925312653
2023-07-01,"no_covid_support",-0.0056498946523011,-0.0056498946523011,0,0.0430871925312653
2023-10-01,"no_covid_support",-0.00057198596639251,-0.00057198596639251,0,0.0430871925312653
2024-01-01,"no_covid_support",0.000596645778658063,0.000596645778658063,0,0.0430871925312653
2024-04-01,"no_covid_support",-0.0043317545581115,-0.0043317545581115,0,0.0430871925312653
2024-07-01,"no_covid_support",0.000975430638847243,0.000975430638847243,0,0.0430871925312653
2024-10-01,"no_covid_support",-0.00352727576867096,-0.00352727576867096,0,0.0430871925312653
1988-07-01,"cci_at_peak",0.012569023955485,0.0113237789077344,-0.00124524504775059,-0.00124524504775059
1988-10-01,"cci_at_peak",0.00972694343034735,0.0258094335250887,0.0160824900947413,0.0148372450469907
1989-01-01,"cci_at_peak",0.0040477335166832,0.0300989812096235,0.0260512476929403,0.0408884927399311
1989-04-01,"cci_at_peak",0.00287737033050346,0.0276494317154241,0.0247720613849207,0.0656605541248517
1989-07-01,"cci_at_peak",0.00320375129921323,0.00921949930982728,0.00601574801061405,0.0716763021354658
1989-10-01,"cci_at_peak",0.00253523026095142,0.0300175430576242,0.0274823127966728,0.0991586149321386
1990-01-01,"cci_at_peak",0.00611387068276812,0.0296971786778053,0.0235833079950372,0.122741922927176
1990-04-01,"cci_at_peak",0.00320131512336536,0.0157138691717614,0.0125125540483961,0.135254476975572
1990-07-01,"cci_at_peak",0.0018443775140483,0.0121757736076529,0.0103313960936046,0.145585873069176
1990-10-01,"cci_at_peak",0.00513602895693439,0.0129558219986695,0.00781979304173513,0.153405666110912
1991-01-01,"cci_at_peak",0.00701432640856593,-0.000950184333282614,-0.00796451074184854,0.145441155369063
1991-04-01,"cci_at_peak",0.000943575399885447,0.00652194021815167,0.00557836481826622,0.151019520187329
1991-07-01,"cci_at_peak",0.0100811608603293,0.00681624527333022,-0.00326491558699907,0.14775460460033
1991-10-01,"cci_at_peak",0.00453663808188307,-0.00201381717937865,-0.00655045526126173,0.141204149339069
1992-01-01,"cci_at_peak",0.00338888386749459,0.00557706642111459,0.00218818255362,0.143392331892689
1992-04-01,"cci_at_peak",0.000383048088716869,0.00236094351722513,0.00197789542850826,0.145370227321197
1992-07-01,"cci_at_peak",-0.00540365252667924,0.00562874573671928,0.0110323982633985,0.156402625584595
1992-10-01,"cci_at_peak",-0.00167857921974722,0.000219693673787257,0.00189827289353448,0.15830089847813
1993-01-01,"cci_at_peak",0.00243676839001719,-0.00201088183467769,-0.00444765022469489,0.153853248253435
1993-04-01,"cci_at_peak",0.0103065495265677,0.00176225000162912,-0.00854429952493861,0.145308948728496
1993-07-01,"cci_at_peak",0.00535539585594555,-0.0103768475750682,-0.0157322434310138,0.129576705297482
1993-10-01,"cci_at_peak",0.0083603533390639,0.000209242561355261,-0.00815111077770864,0.121425594519774
1994-01-01,"cci_at_peak",0.00249966276325406,0.00133298459875133,-0.00116667816450273,0.120258916355271
1994-04-01,"cci_at_peak",0.00447914636029838,0.0063770198411173,0.00189787348081893,0.12215678983609
1994-07-01,"cci_at_peak",0.00604562015938821,0.00213828035040816,-0.00390733980898005,0.11824945002711
1994-10-01,"cci_at_peak",0.00566799596341415,0.000592968666497978,-0.00507502729691617,0.113174422730194
1995-01-01,"cci_at_peak",0.006391628471132,-0.00155173249282777,-0.00794336096395977,0.105231061766234
1995-04-01,"cci_at_peak",0.00248669781254226,-0.0142303761782952,-0.0167170739908375,0.0885139877753966
1995-07-01,"cci_at_peak",0.000867105025494874,-0.0115027251299897,-0.0123698301554845,0.076144157619912
1995-10-01,"cci_at_peak",0.00185321588651895,-0.00932451638455228,-0.0111777322710712,0.0649664253488408
1996-01-01,"cci_at_peak",0.000601255708097963,-0.00943414184387025,-0.0100353975519682,0.0549310277968726
1996-04-01,"cci_at_peak",0.00179822208484783,-0.00643774051571298,-0.00823596260056081,0.0466950651963118
1996-07-01,"cci_at_peak",0.00426623871581594,-0.00647987382371604,-0.010746112539532,0.0359489526567798
1996-10-01,"cci_at_peak",0.00959435543012108,-0.00134863271621569,-0.0109429881463368,0.0250059645104431
1997-01-01,"cci_at_peak",0.0120334513423848,-0.00436564125057592,-0.0163990925929608,0.00860687191748231
1997-04-01,"cci_at_peak",0.0124364092620409,-0.00200382266106107,-0.014440231923102,-0.00583336000561964
1997-07-01,"cci_at_peak",0.0119236174985303,-0.00578485669138291,-0.0177084741899132,-0.0235418341955328
1997-10-01,"cci_at_peak",0.00981419142806344,-0.0155954924018818,-0.0254096838299452,-0.048951518025478
1998-01-01,"cci_at_peak",0.00572797361554746,-0.0310749987908725,-0.03680297240642,-0.085754490431898
1998-04-01,"cci_at_peak",0.0100015988082425,-0.0278739640056933,-0.0378755628139359,-0.123630053245834
1998-07-01,"cci_at_peak",0.000805585712265282,-0.0238293594658374,-0.0246349451781027,-0.148264998423937
1998-10-01,"cci_at_peak",-0.000235342264368606,-0.0389650133223604,-0.0387296710579918,-0.186994669481928
1999-01-01,"cci_at_peak",0.0054150322879739,-0.0352924771873886,-0.0407075094753625,-0.227702178957291
1999-04-01,"cci_at_peak",-0.00408358481354786,-0.0315632782485807,-0.0274796934350328,-0.255181872392324
1999-07-01,"cci_at_peak",0.00271097272560824,-0.0319897934730856,-0.0347007661986939,-0.289882638591017
1999-10-01,"cci_at_peak",0.00422003842321108,-0.0273767929447538,-0.0315968313679649,-0.321479469958982
2000-01-01,"cci_at_peak",0.0039910400809951,-0.0316342485202843,-0.0356252886012794,-0.357104758560262
2000-04-01,"cci_at_peak",0.0019971658556179,-0.0460267483959062,-0.0480239142515241,-0.405128672811786
2000-07-01,"cci_at_peak",0.00795285561224372,-0.0137535433573401,-0.0217063989695838,-0.42683507178137
2000-10-01,"cci_at_peak",0.00462091028963327,-0.0411781379953184,-0.0457990482849517,-0.472634120066321
2001-01-01,"cci_at_peak",0.00940010773265695,-0.0358590616491927,-0.0452591693818496,-0.517893289448171
2001-04-01,"cci_at_peak",0.00695276973258771,-0.0335498525769151,-0.0405026223095028,-0.558395911757674
2001-07-01,"cci_at_peak",0.00519612849692035,-0.0247901068268075,-0.0299862353237279,-0.588382147081402
2001-10-01,"cci_at_peak",0.00833662095217218,-0.0132578747929098,-0.021594495745082,-0.609976642826484
2002-01-01,"cci_at_peak",0.0147006960609073,-0.0188447169233934,-0.0335454129843008,-0.643522055810784
2002-04-01,"cci_at_peak",0.0106893443488028,-0.0517704278301815,-0.0624597721789843,-0.705981827989769
2002-07-01,"cci_at_peak",0.0126638739891914,-0.0453741848048437,-0.0580380587940351,-0.764019886783804
2002-10-01,"cci_at_peak",0.00689452007173372,-0.047926845222592,-0.0548213652943257,-0.81884125207813
2003-01-01,"cci_at_peak",0.00184767815125348,-0.0436053844050985,-0.045453062556352,-0.864294314634482
2003-04-01,"cci_at_peak",0.00806408532737417,-0.0376092467023534,-0.0456733320297276,-0.909967646664209
