"draw","knots","adj_r2","lambda","n_obs","n_aliased"
96,"1982-09-21, 1983-05-19, 1989-06-16, 1998-05-09",0.734165984412188,-0.182620279632792,146,2
97,"1980-02-27, 1989-03-26, 1996-04-06, 1996-08-01",0.725551441269103,-0.169089288103431,146,1
98,"1980-01-31, 1987-04-15, 1991-01-29, 1995-03-01",0.722122980811494,-0.189122353522149,146,1
99,"1984-04-02, 1989-01-20, 1989-05-02, 2007-04-05",0.729208432209004,-0.174999983237033,146,1
100,"1983-01-28, 1985-03-25, 1998-05-23, 2007-11-26",0.733379451786624,-0.202379794063882,146,2
101,"1979-10-25, 1988-08-24, 1991-12-09, 1996-05-30",0.728025134029166,-0.179649266550908,146,1
102,"1984-12-01, 1992-11-09, 2002-10-09, 2005-03-06",0.721384247043762,-0.185732104989865,146,1
103,"1984-07-10, 1990-12-06, 1995-11-21, 2003-09-30",0.72209568005008,-0.180292433541393,146,1
104,"1981-09-21, 1991-12-14, 1998-10-20, 2003-10-02",0.744951864730031,-0.20146902739214,146,1
105,"1980-08-25, 2006-10-30, 2007-07-31, 2007-11-06",0.734452407884023,-0.2163935407026,146,1
106,"1982-12-19, 1984-11-18, 1985-10-12, 1996-10-08",0.724253321927913,-0.182429456305918,146,3
107,"1991-08-09, 1992-02-15, 1992-11-22, 1993-10-04",0.720702355089705,-0.189425670207048,146,0
108,"1986-09-12, 1987-06-15, 1989-08-13, 1999-12-13",0.734587689060536,-0.216413400461958,146,1
109,"1983-04-05, 1985-05-21, 1985-09-12, 2003-09-03",0.725902326870811,-0.174016384866524,146,3
110,"1984-01-09, 1989-10-30, 1990-07-04, 1998-03-25",0.731444226631687,-0.193134289404318,146,1
111,"1981-09-06, 1993-09-19, 2003-06-14, 2004-06-07",0.721550743682955,-0.17661284574009,146,1
112,"1986-03-26, 1987-11-10, 1996-02-04, 2003-07-22",0.724922723988228,-0.170204362594982,146,1
113,"1984-12-09, 1992-05-03, 1996-11-05, 2002-04-01",0.720840360881143,-0.18735729791704,146,1
114,"1981-02-16, 1986-04-06, 1986-07-20, 2003-07-06",0.725902326870811,-0.174016384866524,146,3
115,"1980-09-04, 1995-02-25, 1999-05-05, 1999-12-18",0.735006259453355,-0.225095944741585,146,1
116,"1980-05-14, 1986-05-12, 1996-09-27, 2004-05-01",0.722717646771785,-0.179037147977655,146,2
117,"1981-12-25, 1986-06-29, 1995-04-06, 2001-03-31",0.724835747078432,-0.199018763209357,146,2
118,"1985-10-25, 1987-06-26, 1987-07-12, 1990-09-19",0.729077994874712,-0.186406196320674,146,1
119,"1983-09-26, 1995-01-27, 2005-08-01, 2006-01-26",0.723868822146184,-0.191814178107037,146,1
120,"1987-03-10, 1987-12-21, 1997-03-11, 2006-04-28",0.730188333810748,-0.177676842816734,146,0
121,"1986-06-25, 1987-06-20, 1990-02-23, 2003-01-25",0.722310525877229,-0.177282632579824,146,1
122,"1988-01-16, 1991-06-25, 1998-07-05, 2005-09-12",0.736957358144354,-0.198530895258923,146,0
123,"1992-01-06, 1993-07-15, 1999-03-30, 2006-08-06",0.743125571102528,-0.235029706643627,146,0
124,"1979-03-07, 2000-01-03, 2003-09-20, 2004-07-18",0.735516293019225,-0.21610715044122,146,1
125,"1984-08-27, 1990-12-05, 1992-11-12, 1997-03-20",0.721282047324728,-0.188114863820001,146,1
126,"1989-05-19, 1995-05-09, 2001-08-14, 2005-05-11",0.722354826034771,-0.170161877545987,146,0
127,"1989-08-19, 1992-04-10, 2003-05-03, 2007-03-11",0.724476047310734,-0.179928608588822,146,0
128,"1987-10-07, 1989-09-11, 1996-03-12, 2006-04-27",0.727652867393086,-0.174982817668407,146,0
129,"1987-10-26, 1997-01-19, 1997-05-04, 2000-09-12",0.730124616393545,-0.214017442804275,146,0
130,"1985-11-26, 1991-12-19, 1996-08-30, 2006-10-03",0.723368533112583,-0.189556516279162,146,1
131,"1986-08-06, 1986-10-02, 1997-08-18, 2006-11-29",0.724604761724287,-0.186540802361918,146,1
132,"1981-06-08, 1983-07-03, 1989-11-14, 2000-04-23",0.731287264695192,-0.217002471215119,146,2
133,"1981-08-02, 1985-12-08, 1986-02-02, 1987-04-18",0.725594436943088,-0.180803041976544,146,3
134,"1982-07-16, 1995-01-29, 1999-01-24, 2005-10-08",0.739510401424628,-0.228446654736958,146,1
135,"1993-05-08, 1998-05-11, 2006-02-23, 2006-05-07",0.731727459494295,-0.205989974050881,146,0
136,"1984-05-18, 1984-11-25, 1994-03-22, 2007-08-03",0.722876884283015,-0.184204083377707,146,2
137,"1985-03-04, 1986-06-09, 1989-03-15, 2001-06-28",0.728374456493173,-0.175342149454835,146,2
138,"1987-03-04, 1997-10-21, 2000-04-07, 2002-08-06",0.733336073501151,-0.218050757990993,146,0
139,"1997-09-16, 2003-07-07, 2005-04-08, 2005-08-05",0.723996809372763,-0.167994993964041,146,0
140,"2003-10-05, 2004-03-15, 2004-05-13, 2005-10-20",0.721390779032606,-0.176329536003616,146,0
141,"1985-12-13, 1988-05-06, 1993-01-01, 2003-04-06",0.727871558797327,-0.174455475890427,146,1
142,"1990-08-03, 1994-03-30, 1996-11-20, 2000-12-27",0.722995354311329,-0.215533132722489,146,0
143,"1992-01-06, 2000-02-16, 2005-02-06, 2006-08-25",0.742010327250336,-0.254845383516641,146,0
144,"1979-08-13, 1990-06-26, 1997-12-24, 2005-03-21",0.723091996656145,-0.180891218458048,146,1
145,"1979-08-27, 1997-07-21, 2002-08-10, 2007-03-05",0.722320975983678,-0.181358981921673,146,1
146,"1987-12-23, 1995-09-22, 1997-12-03, 2003-12-12",0.72926864840331,-0.166057362573846,146,0
147,"1990-05-07, 2000-09-23, 2002-11-26, 2004-07-25",0.725571160995161,-0.216584633514714,146,0
148,"1979-08-22, 1979-09-23, 1989-06-07, 2003-07-18",0.726588258229994,-0.165732857473806,146,2
149,"1988-08-21, 1988-09-26, 1988-11-27, 1995-08-24",0.726352445207694,-0.170698507881861,146,1
150,"1994-05-22, 2004-06-29, 2005-10-26, 2006-05-18",0.724152835719616,-0.189485195876275,146,0
151,"1979-05-15, 1993-10-03, 2000-01-13, 2004-05-21",0.734768924812069,-0.222625864866837,146,1
152,"1983-06-04, 1992-07-15, 1999-09-12, 2005-06-02",0.736117098423721,-0.227076077383296,146,1
153,"1987-11-11, 1990-11-12, 1997-09-11, 2000-06-23",0.732362108708001,-0.227328978647451,146,0
154,"1979-08-13, 1993-04-17, 1999-05-26, 2003-08-01",0.742573856358065,-0.213408116873485,146,1
155,"1979-05-01, 1991-04-16, 1993-05-22, 1999-09-13",0.734018315148651,-0.223693126135499,146,1
156,"1991-08-04, 1991-12-24, 2000-03-12, 2000-05-31",0.729512287137412,-0.220024393530086,146,0
157,"1981-06-16, 1981-11-04, 2000-02-12, 2000-06-14",0.733718503113912,-0.220243080665548,146,2
158,"1983-06-16, 1984-03-05, 1988-06-20, 2000-10-09",0.731613824059971,-0.197605670957762,146,2
159,"1981-04-12, 1982-09-17, 1988-09-27, 2006-03-10",0.732482686033735,-0.171254078960226,146,2
160,"1987-12-03, 1989-04-16, 1994-06-18, 1994-11-22",0.722591836047222,-0.172772253366422,146,0
161,"1982-02-08, 1985-12-29, 1990-08-09, 1998-07-26",0.733047767291125,-0.204236040874178,146,2
162,"1981-04-26, 1982-06-21, 1992-12-19, 1996-10-16",0.723448373503245,-0.187364354040675,146,2
163,"1983-03-08, 1989-07-21, 1995-08-19, 2003-06-15",0.722471030216452,-0.168043331731115,146,1
164,"1982-04-06, 1986-08-24, 2002-09-04, 2005-08-11",0.722163168451915,-0.181607728408474,146,2
165,"1984-10-11, 1993-02-02, 1994-12-25, 1996-06-05",0.722346903135778,-0.188196798119253,146,1
166,"1997-07-08, 1997-10-09, 2007-08-12, 2007-10-20",0.742172160888198,-0.229880462046054,146,0
167,"1982-11-26, 1996-05-25, 2000-12-17, 2004-07-28",0.726061845558629,-0.211137582502284,146,1
168,"1979-03-02, 2003-05-15, 2006-02-05, 2006-11-27",0.723350111357802,-0.182584161987947,146,1
169,"1981-02-23, 1981-09-06, 2005-02-21, 2006-03-10",0.724063880300294,-0.188260534822325,146,2
170,"1984-11-11, 1996-08-12, 2004-01-19, 2004-11-25",0.722402330585813,-0.173839249474192,146,1
171,"1981-04-21, 1991-03-13, 2000-03-07, 2005-11-07",0.73420054140945,-0.230756300063852,146,1
172,"1997-08-08, 2002-01-01, 2003-12-22, 2006-10-06",0.725483901924753,-0.172296685533269,146,0
173,"1992-07-18, 1999-08-20, 2004-08-24, 2004-09-06",0.737852471030006,-0.224205626278241,146,1
174,"1985-02-09, 1985-12-23, 2004-11-01, 2006-04-15",0.724719668858006,-0.188932108441874,146,2
175,"1982-05-14, 1983-03-28, 1994-07-11, 2001-02-24",0.724760823258933,-0.198065604063387,146,2
176,"1984-06-08, 1984-10-18, 2000-10-21, 2001-12-14",0.726784973685259,-0.21143568707774,146,2
177,"1983-10-10, 1989-10-27, 1992-12-25, 2006-04-29",0.725029939605151,-0.179368681306592,146,1
178,"1982-07-06, 1985-02-26, 1995-07-07, 2002-12-11",0.722266770003786,-0.179904639320476,146,2
179,"1985-08-31, 1993-02-07, 1999-06-30, 2006-05-22",0.743249592318462,-0.239707634173918,146,1
180,"1979-09-28, 1990-01-22, 1997-11-14, 2006-07-30",0.726732311323156,-0.181120834514183,146,1
181,"1983-11-11, 1985-10-11, 1989-06-05, 2001-07-01",0.726650685895347,-0.176820166202724,146,2
182,"1991-01-30, 1994-10-08, 2001-02-07, 2005-05-14",0.721146731998581,-0.20429800013819,146,0
183,"1989-08-27, 1992-10-13, 1996-03-06, 1997-07-02",0.723150119761585,-0.177290403696347,146,0
184,"1979-03-27, 1981-05-05, 1994-10-10, 2005-06-17",0.722098563297533,-0.182138997709269,146,2
185,"1980-10-12, 1989-04-26, 1993-08-29, 2002-02-21",0.724441275037626,-0.172944968269368,146,1
186,"1987-12-21, 2002-02-07, 2004-10-17, 2006-08-29",0.72917514022976,-0.186920422374374,146,0
187,"1980-07-28, 1996-07-12, 1998-02-14, 2001-03-23",0.731482020905482,-0.214897087280457,146,1
188,"1979-11-03, 1981-03-03, 1985-02-08, 1997-12-10",0.726643098836178,-0.184328594984859,146,3
189,"1984-03-18, 1993-05-29, 1994-06-22, 1998-04-19",0.728856536032928,-0.198307458269158,146,1
190,"1983-09-19, 1988-08-13, 2000-01-14, 2001-02-01",0.735454242315862,-0.211350923304212,146,1
191,"1984-07-23, 1992-02-25, 1997-04-16, 2002-04-27",0.720782427775919,-0.184872879818868,146,1
192,"1981-07-16, 1984-08-25, 1988-10-27, 1995-10-09",0.728473126155602,-0.170044306695018,146,2
193,"1992-11-29, 1998-11-26, 1999-02-14, 2004-07-16",0.73848316771315,-0.218737725663201,146,0
194,"1983-12-16, 1985-05-23, 1993-11-18, 1994-11-17",0.722882829674006,-0.184743842990677,146,2
195,"1981-08-25, 1997-12-04, 1999-10-08, 2005-03-03",0.737415277652917,-0.226544430934832,146,1
196,"1989-03-31, 1991-01-25, 1991-08-27, 2005-06-15",0.728745460753226,-0.184732219727444,146,0
197,"1982-05-05, 1983-05-14, 1987-11-26, 1999-09-29",0.738504289990153,-0.219397099683911,146,2
198,"1984-02-01, 1984-06-06, 1987-06-23, 1999-02-16",0.737850078002342,-0.217944646254096,146,2
199,"1985-09-20, 1992-10-01, 2002-03-22, 2004-12-11",0.721143813723493,-0.187230149975789,146,1
200,"1998-06-25, 2002-11-20, 2004-07-21, 2007-10-29",0.73909334048583,-0.190260174393705,146,0
